Bellevue;Washington;47.57;-122.33
Bothell;Washington;47.79;-122.16
Carnation;Washington;47.69;-121.94
Duvall;Washington;47.81;-121.79
Edmonds;Washington;47.77;-122.44
Everett;Washington;47.93;-122.09
Gold Bar;Washington;47.75;-121.50
Index;Washington;47.85;-121.66
Issaquah;Washington;47.55;-122.15
Kenmore;Washington;47.76;-122.24
Kent;Washington;47.36;-122.15
Minneapolis;Minnesota;45.02;-93.37
Monroe;Washington;47.82;-121.90
Newport Hills;Washington;47.60;-122.28
Redmond;Washington;47.64;-122.28
Renton;Washington;47.52;-122.25
Sammamish;Washington;47.68;-121.97
San Francisco;California;37.84;-122.35
Seattle;Washington;47.57;-122.23
Snohomish;Washington;47.87;-121.94
